REGION_ADMINISTRATIVE,ETABLISSEMENT,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
"Montréal","Université McGill","Centre universitaire de santé McGill (CUSM) - Hôpital neurologique de Montréal","2015-2016","Fonds d'innovation","","Amir SHMUEL","Centre québécois d'imagerie cérébrale à haut champ","MEES",7516327,,,7516327,18790817,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Autre recherche","Neurosciences"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Agus SASMITO","Système de conditionnement d'air complet et de ventilation éconergétique pour mines souterraines","MEES",50000,,,50000,131013,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Prod., distr. et utilisation rationelle de l'énergie (rech. générale)","Génie minier et minéral"
"Capitale-Nationale","Université Laval","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Vincent PERNET","Étude des mécanismes neurodégénératifs de la rétine interne de souris in vivo","MSSS",,119957,,119957,299893,"Santé","Biopharmaceutique","Santé","Neurosciences"
"Montréal","Université Concordia","","2015-2016","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Nathan BROWN","Chaire de recherche du Canada en poétique","MEES",100000,,,100000,401025,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Recherche-création en littérature"
"Montréal","Université McGill","Centre de recherche interdisciplinaire en réadaptation du Montréal Métropolitain (CRIR) - Hôpital juif de réadaptation","2015-2016","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Marie-Hélène BOUDRIAS","Évaluation des changements dus au vieillissement ou à un accident vasculaire cérébral dans le réseau moteur à l'aide de mesures multimodales en neuro-imagerie","MSSS",,71747,,71747,179368,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Montréal","Université de Montréal","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Richard LEONELLI","Source laser à impulsions ultra-brèves pour la spectroscopie non-linéaire des matériaux de pointe pour l'optoélectronique quantique","MEES",150415,,,150415,376036,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Industries électroniques et connexes","Physique de la matière condensée"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Andreas ZUEND","Laboratoire de chimie et de physique informatiques des aérosols atmosphériques","MEES",41229,,,41229,103073,"Sciences naturelles et génie","Environnement et science du climat","Atmosphère et climat","Science de l'atmosphère"
"Montréal","Université de Montréal","Institut de cardiologie de Montréal (ICM)","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Lucie PARENT","Études structure-fonction des canaux ioniques dans les arythmies cardiaques","MSSS",,147949,,147949,369873,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Physiologie"
"Capitale-Nationale","Université Laval","","2015-2016","Fonds d'innovation","","Alain CLOUTIER","Laboratoire de conception et caractérisation des matériaux renouvelables","MEES",1252260,,,1252260,3130650,"Sciences naturelles et génie","Développement durable et technologies vertes","Ressources renouvelables: production et technologies","Génie forestier"
"Montréal","Université de Montréal","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Gregory WEST","L'effet des jeux vidéo d'action sur l'intégrité hippocampique","MEES",79335,,,79335,198337,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Psychologie en SNG"
"Montréal","Université McGill","","2015-2016","Fonds d'innovation","","Maurice CHACRON","Manipulation ciblée des réseaux neuronaux pour mieux comprendre et traiter les dysfonctions cérébrales","MEES,MSSS",2407812,,,2407812,6019533,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Montréal","Université McGill","","2015-2016","Fonds d'innovation","","Fritz BUCHINGER","ARIEL-II : promouvoir les découvertes scientifiques et les sciences de la santé grâce au laboratoire de pointe sur les isotopes rares de TRIUMF","MEES",2140000,,,2140000,5350000,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Autre recherche","Sciences naturelles et Génie (SNG)"
"Montréal","Université McGill","","2015-2016","Fonds d'innovation","","Bhushan NAGAR","Vers une science d'avant-garde : se doter d'un microfaisceau de pointe pour la cristallographie macromoléculaire au Centre canadien de rayonnement synchrotron","MEES",330000,,,330000,825000,"Sciences naturelles et génie","Biopharmaceutique","Génie biomédical et pharmacologie","Biochimie"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Nicole Yee-Key LI","Infrastructure en vue d'étudier le recours à la médecine personnalisée pour traiter des troubles de la voix","MEES",100000,,,100000,322781,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Sc. de la vie liées à santé publique + maladies humaines"
"Montréal","Université McGill","Centre universitaire de santé McGill (CUSM) - Campus de la Montagne (Hôpital général de Montréal)","2015-2016","Fonds d'innovation","","Alain PTITO","Comprendre et guérir le cerveau blessé: technologies et méthodes pour la détection, la caractérisation et le traitement du traumatisme crânien","MSSS",,2995246,,2995246,7488116,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Sciences médicales cliniques, divers"
"Capitale-Nationale","Université Laval","CIUSSS de la Capitale-Nationale - Institut universitaire en santé mentale de Québec - Centre de recherche","2015-2016","Fonds d'innovation","","Yves DE KONINCK","Initiative de neurophotonique, Phase II","MEES,MSSS",2977289,7422402,,10399691,25999945,"Santé","Optique-photonique","Génie biomédical et pharmacologie","Maladies organiques du système nerveux central"
"Montréal","Université McGill","","2015-2016","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Bastien CASTAGNER","Chaire de recherche du Canada en chimie thérapeutique","MEES",100000,,,100000,250000,"Santé","Biopharmaceutique","Produits pharmaceutiques","Médicaments/sc. Pharm./chimie pharm./effets nocifs des abus"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Marie-Josée DUMONT","Infrastructure pour le laboratoire des bio-matériaux et des produits chimiques biosourcés","MEES",106200,,,106200,265503,"Sciences naturelles et génie","Développement durable et technologies vertes","Produits de l'industrie chimique","Science et technologie des matériaux"
"Montréal","Université de Montréal","","2015-2016","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","André GAUDREAULT","Chaire de recherche du Canada en études cinématographiques et médiatiques","MEES",172307,,,172307,430766,"Arts et lettres","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Arts médiatiques"
"Montréal","Université de Montréal","Centre de recherche du CHUM - Hôpital St-Luc","2015-2016","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Antoine BOIVIN","Chaire de recherche du Canada sur le partenariat patient et publique","MSSS",,99890,,99890,249994,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Recherches sur les services de santé - général"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Centre hospitalier de l'Université Laval (CRCHUL)","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Adnane SELLAM","Plateforme à haut-débit pour l'analyse phénotypique des levures pathogènes et le criblage de chimiothèques","MSSS",,123073,,123073,335529,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Microbiologie"
"Capitale-Nationale","Université Laval","Institut universitaire de cardiologie et de pneumologie de Québec (CRIUCPQ) - Centre de recherche","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Ynuk BOSSÉ","Recherche translationnelle pour comprendre la fonction des muscles lisses des voies respiratoires en condition normale et dans un contexte d'asthme","MSSS",,128000,,128000,322685,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Physiologie"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Philippe APPARICIO","Laboratoire d'équité environnementale (LAEQ)","MEES",98771,,,98771,246999,"Sciences sociales et humaines","Environnement et science du climat","Aménagement général du territoire","Géographie"
"Montréal","Université de Montréal","","2015-2016","Fonds d'innovation","","René DOYON","SPIRou: un spectro-polarimètre infrarouge à grande couverture spatiale pour la détection et la caractérisation de planètes terrestres","MEES",3609428,,,3609428,15682110,"Sciences naturelles et génie","Astronomie et recherche spatiale","Fabrication de tout autre type d'instrument","Astronomie et astrophysique"
"Montréal","Université McGill","","2015-2016","Fonds d'innovation","","Victoria KASPI","Détection de transitoires rapides radio avec le télescope CHIME","MEES",797450,,,797450,1993625,"Sciences naturelles et génie","Astronomie et recherche spatiale","Exploration et connaissance de l'espace","Astronomie et astrophysique"
"Montréal","École Polytechnique de Montréal","","2015-2016","Fonds d'innovation","","Frédéric LESAGE","Infrastructure de micro-usinage du verre appliquée aux microsystèmes et à la micro-imagerie","MEES",1398826,,,1398826,3497065,"Sciences naturelles et génie","Optique-photonique","Fab. de matériel médical et chirurgical + appareils ortho.","Génie biomédical"
"Montréal","Université McGill","","2015-2016","Fonds d'innovation","","Marcelo WANDERLEY","Expression musicale "in situ": la performance musicale et audiovisuelle et sa réception","MEES",4366723,,,4366723,10916808,"Arts et lettres","TIC (télécommunications, multimédia, logiciels, services informatiques)","Culture","Technologie de l'information: informatique"
"Montréal","École Polytechnique de Montréal","","2015-2016","Fonds d'innovation","","Sylvain MARTEL","Plateformes interventionnelles nanorobotiques pour le traitement du cancer","MEES",1849488,,,1849488,4628742,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Génie biomédical"
"Montréal","Université de Montréal","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","John PASCAL","Biologie structurale et biochimie des complexes macromoléculaires","MEES",139921,,,139921,354569,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Biochimie"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Yu XIA","Infrastructure informatique pour l'étude à haute résolution de la biologie des systèmes","MEES",48000,,,48000,120000,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Génie biomédical et pharmacologie","Biologie moléculaire et cellulaire"
